
129 (False) SKC(종가:101000) 562177642108 - 1279813037200 > 3824698098000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
130 (False) SK가스(종가:101500) 1705307099606 - 2360516021289 > 936869766000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
131 (False) SK네트웍스(종가:4900) 2307242000000 - 4702666000000 > 1216119470300 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
132 (False) SK디스커버리(종가:61900) 216327658059 - 230986127957 > 1178443224500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
133 (False) SK디앤디(종가:43100) 828404822936 - 963203276072 > 818476068400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
134 (False) SK렌터카(종가:10100) 309136064728 - 1736944931066 > 477586984000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
135 (False) SK머티리얼즈(종가:317200) 195339393932 - 826985605786 > 3345721875600 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
136 (False) SK이노베이션(종가:252500) 1878095847000 - 3466523290000 > 23347554910000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
137 (False) SK케미칼(종가:376000) 618909740712 - 912867212196 > 4414764896000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
138 (False) SK텔레콤(종가:244000) 5282778000000 - 13422944000000 > 19701953484000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
139 (False) SK하이닉스(종가:130000) 13581565000000 - 13345639000000 > 94640307450000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
140 (False) SNK(종가:22200) 22529142700 - 1028599784 > 467571960000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
141 (False) SPC삼립(종가:73300) 224254608680 - 687111367367 > 632506359700 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
142 (False) STX(종가:5740) 156990000000 - 320897000000 > 113232417480 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
143 (False) STX엔진(종가:7100) 427575000000 - 575321000000 > 163363218400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
144 (False) TCC스틸(종가:5280) 129304486372 - 178911628530 > 121440000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
145 (False) TJ미디어(종가:3125) 29729188790 - 28074168690 > 43536278125 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
146 (False) TPC(종가:4085) 55212547582 - 70986809957 > 55066927460 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
147 (False) UCI(종가:2000) 14317864836 - 22916200374 > 74794734000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
148 (False) WI(종가:1260) 30190733115 - 11915955377 > 95559469740 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
149 (True) WISCOM(종가:2800) 66118139814 - 12543599342 > 42914026400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
150 (False) W홀딩컴퍼니(종가:300) 40591370730 - 53911937430 > 69725427900 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
151 (False) YBM넷(종가:7300) 35255960866 - 35958931384 > 119082688100 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
152 (False) YTN(종가:4080) 48601427047 - 98754631398 > 171360000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
153 (False) YW(종가:3940) 73876863477 - 43228366423 > 44740149920 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
